produto,Unnamed: 1,prediction
couve flor pratico 200g,,"(('__label__verduras,couve', '__label__legumes,cogumelo', '__label__verduras,salada', '__label__laticínios,manteiga', '__label__grãos,linhaça'), array([0.07138844, 0.06483892, 0.02143423, 0.01916189, 0.01827984]))"
pimenta do reino,,"(('__label__frutos', '__label__sal,sal', '__label__conservas,pimenta', '__label__temperos', '__label__vinhos,vinho'), array([0.3389307 , 0.16608219, 0.12863618, 0.06551538, 0.05020771]))"
piumenta com / c dacasa 25g,,"(('__label__farmácia', '__label__vitaminas,vitamina', '__label__higiene,absorvente', '__label__utensílios', '__label__chás,chá'), array([0.08153342, 0.06717084, 0.04288986, 0.03632189, 0.03628684]))"
mikitos queijos 30g,,"(('__label__biscoitos', '__label__massas', '__label__chocolates,bombom', '__label__suplementos', '__label__chocolates,chocolate'), array([0.04798678, 0.03045917, 0.02186758, 0.02112141, 0.01876537]))"
polpa de manga 100g,,"(('__label__sucos,polpa', '__label__grãos,semente', '__label__chás,chá', '__label__sucos,suco', '__label__sucos,refresco'), array([9.84894633e-01, 2.51512649e-03, 1.46588904e-03, 9.22637526e-04,
       6.42716244e-04]))"
mikitos,,"(('__label__conveniências,fita', '__label__conveniências,cola', '__label__churrasco,carvão', '__label__cozinha,porta', '__label__jardinagem,flor'), array([0.02052982, 0.01347789, 0.01298087, 0.01170294, 0.01056923]))"
pimenta do reino grao 25g,,"(('__label__temperos', '__label__conservas,pimenta', '__label__chás,cha', '__label__frutos', '__label__sal,sal'), array([0.43998897, 0.16869763, 0.07209645, 0.05385371, 0.04411664]))"
polpa de abacaxi,,"(('__label__sucos,polpa', '__label__sucos,suco', '__label__sucos,refresco', '__label__molhos', '__label__refrigerantes,refrigerante'), array([0.70986289, 0.06326148, 0.01089349, 0.01023752, 0.009611  ]))"
polpa de maracuja,,"(('__label__sucos,polpa', '__label__sucos,suco', '__label__molhos', '__label__jardinagem,semente', '__label__cozinha,espremedor'), array([0.46602166, 0.05739915, 0.0485088 , 0.02477486, 0.0138747 ]))"
polpa de cupuacu,,"(('__label__sucos,polpa', '__label__jardinagem,semente', '__label__molhos', '__label__grãos,semente', '__label__jardinagem,sementes'), array([0.45328727, 0.02717214, 0.01852096, 0.01518373, 0.01368404]))"
pilha media panazoni,,"(('__label__farmácia', '__label__conveniências,fita', '__label__utensílios', '__label__papelaria,mochila', '__label__cabelo,pente'), array([0.04188106, 0.02036636, 0.01765723, 0.01412422, 0.01288267]))"
doce abob/coco 950g,,"(('__label__doces', '__label__chocolates,bombom', '__label__jardinagem,semente', '__label__legumes,batata', '__label__torradas,torrada'), array([0.06216815, 0.01745751, 0.01442285, 0.00890004, 0.00732704]))"
pente masculino c/1,,"(('__label__cabelo,kit', '__label__cabelo,pente', '__label__cabelo,escova', '__label__vinhos,vinho', '__label__cabelo,shampoo'), array([0.25774673, 0.11830973, 0.02573055, 0.02062313, 0.02007073]))"
cacarola aluminio n.14,,"(('__label__cozinha,frigideira', '__label__cozinha,assadeira', '__label__cozinha,panela', '__label__cozinha,cacarola', '__label__cozinha,caçarola'), array([0.05498945, 0.02351704, 0.02230027, 0.02208458, 0.02201735]))"
cacarola aluminio n.22,,"(('__label__cozinha,frigideira', '__label__cozinha,panela', '__label__cozinha,caçarola', '__label__cozinha,cacarola', '__label__cozinha,assadeira'), array([0.07123032, 0.03123817, 0.02947194, 0.02589815, 0.02494638]))"
batata frita congelada palito carrefour discount,,"(('__label__vegetais', '__label__frios,mortadela', '__label__aves,coxinha', '__label__aves,coxa', '__label__aves,frango'), array([0.43198502, 0.01170935, 0.01030756, 0.00888637, 0.0084213 ]))"
talher simonag.sintonia dec.vermelh,,"(('__label__cozinha,porta', '__label__cozinha,kit', '__label__cozinha,conjunto', '__label__cozinha,taca', '__label__cozinha,copo'), array([0.45482942, 0.12985377, 0.02965726, 0.01554419, 0.01167393]))"
vela aniv metal bicolor n0,,"(('__label__conveniências,vela', '__label__embalagens', '__label__conveniências,velas', '__label__utensílios', '__label__bebê,chupeta'), array([0.84610587, 0.040859  , 0.01768033, 0.01186984, 0.00438698]))"
vela aniv metal bicolor n3 rs prata,,"(('__label__conveniências,vela', '__label__embalagens', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__cães,coleira'), array([0.939331  , 0.02384647, 0.01270236, 0.0025628 , 0.00138028]))"
vela aniv metal bicolor n4 rs prata,,"(('__label__conveniências,vela', '__label__embalagens', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta'), array([0.92397785, 0.01796143, 0.01649848, 0.00339737, 0.00205209]))"
vela aniv metal bicolor n6 rs prata,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__bebê,chupeta', '__label__papelaria,caneta'), array([0.93622416, 0.01594883, 0.0104343 , 0.00254641, 0.00224958]))"
vela aniv metal bicolor n7 rs prata,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__bebê,chupeta', '__label__papelaria,caneta'), array([0.94025898, 0.01439439, 0.01273882, 0.00188893, 0.00176651]))"
balao latex gigante n250 laranja,,"(('__label__utensílios', '__label__farmácia', '__label__conveniências,fita', '__label__doces', '__label__cozinha,""pote'), array([9.52974260e-01, 1.57108940e-02, 4.10556141e-03, 8.45114177e-04,
       6.23013242e-04]))"
faca desc refeicao branca elegance,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__utensílios', '__label__cozinha,taça', '__label__conveniências,cola'), array([0.03514807, 0.01899415, 0.01613653, 0.01113932, 0.01056651]))"
faca desc refeicao dourado elegance,,"(('__label__utensílios', '__label__cozinha,copo', '__label__bebê,fralda', '__label__farmácia', '__label__higiene,papel'), array([0.02821229, 0.01160613, 0.01012869, 0.00920082, 0.00866461]))"
faca desc refeicao prata elegance,,"(('__label__conveniências,vela', '__label__utensílios', '__label__cozinha,copo', '__label__ovos,ovos', '__label__conveniências,velas'), array([0.02617189, 0.02485542, 0.01902959, 0.01402741, 0.01297022]))"
faca desc refeicao preto elegance,,"(('__label__utensílios', '__label__jardinagem,vaso', '__label__cozinha,colher', '__label__farmácia', '__label__papelaria,lapis'), array([0.04424811, 0.02299268, 0.01832825, 0.01808933, 0.01669063]))"
vela aniv metal bicolor n8 rs prata,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__cozinha,caneca', '__label__bebê,chupeta'), array([0.95435596, 0.01257139, 0.00698997, 0.00187714, 0.00158339]))"
vela aniv metal bicolor n9 rs prata,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__bebê,chupeta', '__label__papelaria,caneta'), array([0.96829474, 0.00978698, 0.00640615, 0.00113034, 0.00098626]))"
vela aniv metal bicolor interr,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__utensílios', '__label__conveniências,fita'), array([0.73531955, 0.02829798, 0.01707847, 0.01098323, 0.00878515]))"
fralda kisses gx c/7 un,,"(('__label__cozinha,porta', '__label__verduras,alface', '__label__conveniências,fita', '__label__corpo,bucha', '__label__conveniências,lâmpada'), array([0.00489092, 0.00464005, 0.00451845, 0.00409685, 0.00366567]))"
garfo mesa 10 pcs branco martinazzo,,"(('__label__cozinha,faca', '__label__cozinha,colher', '__label__ovos,ovos', '__label__cozinha,garfo', '__label__vinhos,vinho'), array([0.2982522 , 0.1809189 , 0.06839916, 0.06584278, 0.0503874 ]))"
garfo mesa 10 pcs vermelho martinazzo,,"(('__label__cozinha,faca', '__label__cozinha,colher', '__label__cozinha,garfo', '__label__ovos,ovos', '__label__cozinha,faqueiro'), array([0.3416582 , 0.18454455, 0.0593095 , 0.05797198, 0.0394219 ]))"
limpa vidro juma,,"(('__label__utensílios', '__label__cozinha,pote', '__label__cozinha,jarra', '__label__cozinha,garrafa', '__label__cozinha,tigela'), array([0.16275333, 0.07050753, 0.06244163, 0.06219349, 0.05943089]))"
gergelim branco 100g,,"(('__label__grãos,gergelim', '__label__grãos,semente', '__label__ovos,ovo', '__label__chocolates,chocolate', '__label__chocolates,ovo'), array([0.32405803, 0.13095197, 0.08317291, 0.07928721, 0.04982574]))"
serum max love crescimento cilios e sobrancelhas 3.5ml,,"(('__label__mãos', '__label__temperos', '__label__pássaros', '__label__isotônicos', '__label__eletro'), array([0.16455439, 0.13061494, 0.03479277, 0.01781678, 0.01181459]))"
churrasqueira eletrica super grill 127v,,"(('__label__utensílios', '__label__papelaria,mochila', '__label__papelaria,estojo', '__label__jardinagem,vaso', '__label__papelaria,pincel'), array([0.08453796, 0.02677108, 0.02624722, 0.02501784, 0.01322582]))"
fosforo guarani 1cx c/40 palitos,,"(('__label__conveniências,cola', '__label__farmácia', '__label__conveniências,fita', '__label__produtos', '__label__jardinagem,semente'), array([0.00469656, 0.004569  , 0.00360489, 0.00279684, 0.00278544]))"
batom hello kitty blister infantil,,"(('__label__bebê,fralda', '__label__papelaria,mochila', '__label__farmácia', '__label__cabelo,pente', '__label__papelaria,estojo'), array([0.00573272, 0.00517842, 0.00275038, 0.00274498, 0.00258722]))"
plug macho 2p+t,,"(('__label__conveniências,fita', '__label__cozinha,porta', '__label__utensílios', '__label__cozinha,""pote', '__label__jardinagem,vaso'), array([0.0055276 , 0.0051784 , 0.00468849, 0.00468297, 0.00319718]))"
mordedor nina baby chocalho rosa,,"(('__label__bebê,chupeta', '__label__bebê,mamadeira', '__label__cães,comedouro', '__label__bebê,kit', '__label__cães,cama'), array([0.29711196, 0.1044497 , 0.03288196, 0.02988225, 0.01371665]))"
ativador cacho super pode cac sens 300ml,,"(('__label__cabelo,shampoo', '__label__cabelo,condicionador', '__label__cabelo,cond', '__label__cabelo,sh', '__label__cozinha,caneca'), array([0.02044286, 0.01909263, 0.00828545, 0.00819687, 0.00769292]))"
ativador cacho super poderosa coco 300ml,,"(('__label__cabelo,shampoo', '__label__cabelo,condicionador', '__label__cabelo,creme', '__label__cabelo,mascara', '__label__cabelo,cond'), array([0.22021025, 0.16732197, 0.04638959, 0.03733831, 0.03334098]))"
kit super poderosa sh cond cacho sensac,,"(('__label__cabelo,kit', '__label__cabelo,tintura', '__label__cabelo,tinta', '__label__utensílios', '__label__cabelo,coloração'), array([0.09014136, 0.02069641, 0.01394472, 0.01271517, 0.01124936]))"
mamad nina super 330ml anatomica azul,,"(('__label__bebê,mamadeira', '__label__bebê,chupeta', '__label__cozinha,caneca', '__label__cozinha,copo', '__label__papelaria,caneta'), array([0.3784678 , 0.09139813, 0.05231046, 0.05182384, 0.03281467]))"
mamad nina super 330ml anat conv azul ref 1061,,"(('__label__bebê,mamadeira', '__label__bebê,chupeta', '__label__cozinha,caneca', '__label__cozinha,copo', '__label__cozinha,garrafa'), array([0.28886572, 0.12270918, 0.06799152, 0.05379237, 0.04726217]))"
chupeta nina baby americana transp rosa,,"(('__label__bebê,chupeta', '__label__bebê,mamadeira', '__label__papelaria,caneta', '__label__verduras,alface', '__label__bebê,kit'), array([0.50124586, 0.07909331, 0.01854336, 0.0164468 , 0.01376041]))"
queijo federicci ricota fresca com oregano 350g,,"(('__label__massas', '__label__queijos,queijo', '__label__pães', '__label__pães,pão', '__label__biscoitos'), array([0.37519771, 0.15109542, 0.0962849 , 0.03446307, 0.02578799]))"
ovos so novo bco grande c/30 filmado,,"(('__label__ovos,ovos', '__label__ovos,ovo', '__label__conveniências,velas', '__label__cozinha,faca', '__label__cozinha,conjunto'), array([0.24957311, 0.05339912, 0.0132767 , 0.0118962 , 0.01177095]))"
sh keraform 500ml liso,,"(('__label__cabelo,condicionador', '__label__cabelo,shampoo', '__label__cabelo,kit', '__label__cabelo,sh', '__label__cabelo,cond'), array([0.43140897, 0.28147215, 0.0334166 , 0.0274213 , 0.01884525]))"
tabua carne fina 50x100,,"(('__label__cozinha,faca', '__label__cães,osso', '__label__cães,ração', '__label__cães,bifinho', '__label__cozinha,tabua'), array([0.08804281, 0.03861789, 0.01726719, 0.01592661, 0.01592337]))"
mascara confort com protecao uv50 pink 1 unidade,,"(('__label__utensílios', '__label__farmácia', '__label__papelaria,pasta', '__label__papelaria,apontador', '__label__cuidados'), array([0.13204069, 0.06876974, 0.03574911, 0.01880321, 0.01836166]))"
kit shamp. + cond. kanechom domina cachos 350ml,,"(('__label__cabelo,shampoo', '__label__cabelo,condicionador', '__label__cabelo,kit', '__label__cabelo,sh', '__label__cabelo,creme'), array([0.34124193, 0.27827936, 0.10694542, 0.01780066, 0.01661533]))"
hamb.club v burger de vegetais 230g,,"(('__label__jardinagem,semente', '__label__jardinagem,sementes', '__label__cabelo,gel', '__label__ingredientes', '__label__produtos'), array([0.01295259, 0.00770156, 0.00672928, 0.00643352, 0.006349  ]))"
agriao hidroponico u,,"(('__label__verduras,alface', '__label__conveniências,cola', '__label__verduras,couve', '__label__verduras,salada', '__label__conveniências,fita'), array([0.02048895, 0.00479354, 0.00406271, 0.00305599, 0.00293422]))"
banana pct 250grs ma,,"(('__label__suplementos', '__label__doces', '__label__conservas,""palmito', '__label__chocolates,bombom', '__label__conveniências,fita'), array([0.00471171, 0.0022868 , 0.00213524, 0.00175757, 0.00163405]))"
peitoral fat boy 2 m,,"(('__label__cães,guia', '__label__cães,peitoral', '__label__cães,coleira', '__label__cães,osso', '__label__cães,cama'), array([0.29283351, 0.12005921, 0.09528926, 0.05161992, 0.0477672 ]))"
full body happ au mi,,"(('__label__cabelo,pente', '__label__rosto,pó', '__label__proteção', '__label__papelaria,mochila', '__label__rosto,máscara'), array([0.00588201, 0.00541861, 0.0046924 , 0.00405059, 0.00371272]))"
torrada ouropretana heleninha 300g,,"(('__label__conservas,palmito', '__label__legumes,tomate', '__label__legumes,vagem', '__label__legumes,cenoura', '__label__conservas,pepino'), array([0.03006486, 0.01841639, 0.01150219, 0.01145674, 0.00803334]))"
novamox 2x 400/57mg susp 70ml */a,,"(('__label__farmácia', '__label__cozinha,caneca', '__label__cozinha,porta', '__label__conveniências,fita', '__label__cozinha,taca'), array([0.0043352 , 0.00274146, 0.00269995, 0.00261895, 0.00194399]))"
far linhaca viver bem marron 200g,,"(('__label__grãos,semente', '__label__grãos,gergelim', '__label__doces', '__label__grãos,linhaça', '__label__biscoitos'), array([0.08315776, 0.01737315, 0.0160561 , 0.01585227, 0.01468611]))"
"jarra nova era romana 2,5l",,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__papelaria,papel', '__label__conveniências,fita', '__label__jardinagem,semente'), array([0.01134756, 0.00780563, 0.00645446, 0.0038914 , 0.00376033]))"
